-48.33475275,-48.89290006,1.197728711
-48.93780917,-49.15920796,0.9358679479
-49.39069712,-49.57566352,0.8270737504
-49.48174595,-49.52834878,0.6447302482
-47.82349679,-48.27779959,0.7693526773
-49.09405411,-49.29257249,1.020825742
-49.09405411,-49.29257249,1.020825742
-48.88787994,-49.08547786,0.8744359713
-48.60460213,-48.93099964,1.018724521
-49.59576024,-49.72462169,1.165768629
-48.88787994,-49.08547786,1.020825742
-48.60460213,-48.93099964,1.020825742
-49.59576024,-49.72462169,0.8744359713
-48.88787994,-49.08547786,1.018724521
-48.60460213,-48.93099964,1.165768629
-49.59576024,-49.72462169,1.020825742
-48.33475275,-49.15920796,1.020825742
-48.93780917,-49.57566352,0.8744359713
-49.39069712,-49.52834878,1.018724521
-49.48174595,-48.27779959,1.165768629

