,x,y,theta
0,-44.34449252,-44.00787862,0.7174876828
1,-45.10874504,-44.55154742,0.9781310672
2,-44.51984712,-44.07574572,0.7771372352
3,-44.95927876,-44.45389948,0.9748882241
4,-44.54340972,-44.16741525,0.8465484325
5,-44.59823344,-44.27782734,1.076611982
6,-44.58549994,-44.31201045,0.8292671440999999
7,-44.34848978,-44.10106398,0.9890853158
8,-44.39270564,-44.07392103,0.6968472479000001
9,-44.37319582,-44.30637174,1.131863383
10,-44.59823344,-44.27782734,1.076611982
11,-44.58549994,-44.31201045,0.8292671440999999
12,-44.34848978,-44.10106398,0.9890853158
13,-44.39270564,-44.07392103,0.6968472479000001
14,-44.37319582,-44.30637174,1.131863383
15,-44.34449252,-44.00787862,0.7174876828
16,-45.10874504,-44.55154742,0.9781310672
17,-44.34449252,-44.00787862,0.7174876828
18,-45.10874504,-44.55154742,0.9781310672
19,-44.51984712,-44.07574572,0.7771372352
20,-44.44446264,-44.06232188,0.78729468
21,-44.43115139,-44.12425179,1.07378146
22,-44.0899966,-43.79588398,0.68528184
23,-44.22808056,-43.81076674,0.71413661
24,-44.35291006,-44.04452545,1.08781848
25,-44.36989506,-44.06366591,1.0961587
26,-44.4513554,-44.1003109,0.87312977
27,-44.59247586,-44.24639287,1.08246261
28,-44.25911679,-43.91174725,0.99617648
29,-44.50837437,-44.15014439,0.87295115
30,-44.45227547,-44.104296999999995,0.84180071
31,-44.23074896,-43.81263385,0.72147845
32,-44.42314804,-44.05852989,0.83224406
33,-44.54332998,-44.15290726,0.69642643
34,-45.32750383,-44.72898023,0.90058368
35,-44.84854237,-44.70903916,0.87680982
36,-45.38287556,-44.75612521,0.89224631
37,-44.43166357,-44.00298965,0.78244051
38,-44.552685600000004,-44.07915762,0.9255465
39,-44.10842618,-43.7963005,0.71077281
40,-44.3584573,-43.99524686,0.75660225
41,-44.445267136881895,-44.14199463928847,0.6532982020875674
42,-43.111913631263846,-43.170906918157094,1.0845356198900342
43,-44.57209244578451,-44.26757031738222,0.6525596474041574
44,-44.872960842760065,-44.620308506673744,1.0403910945811894
45,-44.11549075748405,-43.99089489035764,1.1047516243063584
46,-44.241596471584174,-44.07608113387522,0.9949464922302445
47,-44.56870783000015,-44.26513365500315,0.6529257915510572
48,-44.892550714919864,-44.62100429952657,0.8399050404725601
49,-44.95153976372917,-44.52420101755793,0.938273935881889
50,-44.472589025328254,-44.20700100262514,1.0934781757196017
51,-44.90287055888064,-44.500479614329784,1.057344215112482
52,-44.31536037580963,-44.12036095738089,1.0852614817589274
53,-44.56870783000015,-44.26513365500315,0.6529257915510572
54,-44.56870783000015,-44.26513365500315,0.6529257915510572
55,-44.56870783000015,-44.265133655003154,0.6529257915510572
56,-44.592865995751,-44.256929927523316,1.061506550786683
57,-44.56870783000015,-44.265133655003154,0.652925791551057
58,-44.56870783000015,-44.26513365500315,0.6529257915510572
59,-44.06437140509569,-43.918239928331786,1.0988128463945648
60,-44.56870783000015,-44.26513365500315,0.6529257915510572
