,x,y,theta
0,-114.76811927104367,-73.93979642428843,1.8160728517104767
1,-116.82775620797732,-75.35812802481144,1.8569358188285747
2,-116.82775620797732,-75.35812802481142,1.8569358188285747
3,-116.62675060145202,-75.19145332639067,1.5134606208858683
4,-116.59480662695059,-75.17460616174887,1.5150000289417662
5,-121.22466078283983,-77.75383655407208,1.7426683766978954
6,-116.72074283034172,-75.35416288350355,1.8156857448665877
7,-116.82775620797729,-75.35812802481144,1.8569358188285747
8,-116.44610284898239,-75.1302076577293,1.7820852906047104
9,-117.77424369546875,-75.93324797403797,1.880977347448683
10,-116.78844517129484,-75.35667144229018,1.8417827304343757
11,-116.82775620797729,-75.35812802481144,1.8569358188285747
12,-116.37959133135922,-75.13421469797365,1.8901778201988306
13,-114.50897758511987,-74.04105971224183,1.5416731829257992
14,-116.82775620797729,-75.35812802481144,1.8569358188285747
15,-116.82557226149493,-75.35804710356027,1.8560939805844525
16,-116.82532408575831,-75.35803790796353,1.8559983171476204
17,-116.82775620797729,-75.35812802481144,1.8569358188285747
18,-114.48953677156373,-73.94990413069556,1.8160466083084648
19,-114.50039371789154,-73.97191979210602,1.7720643225742345
