,x,y,theta
0,-89.80788001938717,-75.05889851157073,1.41980974364858
1,-91.1915721941146,-76.08131098318125,1.2869888738094721
2,-89.48536056099967,-74.709884250987,1.4859600556479748
3,-89.48536056099967,-74.709884250987,1.4859600556479748
4,-91.21572929874785,-76.04198672227594,1.451942422715619
5,-89.3512657046367,-74.71367239007387,1.4859852005841068
6,-91.1915721941146,-76.08131098318125,1.2869888738094721
7,-90.77140276566597,-75.77861106265233,1.4402838354933198
8,-89.3512657046367,-74.71367239007387,1.4859852005841068
9,-90.79717529141654,-75.81733815239299,1.4420811283873254
10,-90.68567388990316,-75.55010870267681,1.276499397420985
11,-90.28403458674472,-75.13196761949868,1.234199834378673
12,-89.48536056099967,-74.709884250987,1.4859600556479748
13,-89.97234898785646,-74.95350299992673,1.2130165385909795
14,-91.58565013020151,-75.89946062823971,1.6249861298081845
15,-89.48536056099967,-74.709884250987,1.4859600556479748
16,-90.53414553783313,-75.5395411030077,1.2777807990275614
17,-91.08897616273389,-75.84153379108454,1.240065706611181
18,-91.32486763966439,-76.07518710516437,1.286610945572214
19,-90.3152450578269,-75.44960554725645,1.4193338014437413
