,x,y,theta
0,-109.41234441686419,-67.25683665023527,1.8474863886949453
1,-109.58997370265037,-67.27989557729589,1.6940400888757958
2,-108.85881106156454,-67.1603343577867,1.54997955277782
3,-108.7044270375272,-66.95135597905441,1.8234302231032702
4,-109.6867347538903,-67.40375220723111,1.7901945596306652
5,-110.41088733067271,-67.87807182716077,1.5518786995903688
6,-109.68291686207247,-67.507056477651,1.5054723934015102
7,-109.05946261954168,-67.00087948134512,1.4696719267473728
8,-110.66566277672469,-67.90876323179153,1.814160909081592
9,-108.89599946044939,-67.05666552297278,1.470689492635896
10,-108.1511430028862,-66.6746216965738,1.489430582372679
11,-109.9688487323609,-67.69579713398039,1.5127914713723702
12,-109.66063313920245,-67.60083916715566,1.7047400605024623
13,-110.55000736192153,-68.0918018654297,1.5476999115948298
14,-109.69737096490874,-67.68069067254011,1.7530641838464427
15,-109.12361219855033,-67.11154623663737,1.5275835091489531
16,-109.49005112164748,-67.3002107797793,1.7070291099461625
17,-109.70969379295487,-67.55794889218762,1.7900806704016916
18,-111.48675921900892,-68.45579181360519,1.5301049162234812
19,-108.87232825337111,-67.04725039255078,1.617876083903752
