,x,y,theta
0,-112.04984032702151,-70.20532965210887,1.8696475354131405
1,-114.05051031050303,-71.24424732247233,1.8345037370515525
2,-114.5889764546885,-71.5876443791736,1.6647576542399671
3,-113.98580925048743,-71.35050345921374,1.8361163534823817
4,-113.26289790391192,-70.91835848844856,1.8254949216851402
5,-112.46836455394892,-70.42069819576933,1.6143619391271635
6,-113.1888372380652,-70.85035466396195,1.8239230802896012
7,-113.08621617051494,-70.77435342342396,1.8633730259983505
8,-112.9963584865343,-70.71327315068488,1.8805997410382023
9,-113.39118232293706,-70.96093999875256,1.9260860900406311
10,-112.6379898315432,-70.3862081587935,1.8848498173536727
11,-112.46962674766196,-70.31045633738974,1.8684762476283265
12,-112.29129258165787,-70.19889753845621,1.8751715438728542
13,-112.77027511173561,-70.44572744703927,1.8977147649950166
14,-112.67100095496723,-70.9690367740378,1.8835541071452837
15,-112.77027511173561,-70.44572744703927,1.8977147649950166
16,-112.71615840620235,-70.42137864730236,1.8924518318690124
17,-112.76426214445414,-70.44302202484629,1.8971299946476827
18,-112.49367861678786,-70.32127802616169,1.8708153290176617
19,-112.46962674766196,-70.31045633738974,1.8684762476283265
