,size,direction,x,y,theta
0,small,straight,-90.3993836952614,-75.39984832248788,1.388511093950458
1,small,left,-49.261607421107364,-49.49407684811267,1.1334060673013917
2,small,right,-116.57199024147125,-75.18979669587353,1.789070106815061
3,medium,straight,-88.3832341702218,-72.10142579376028,1.4536456829881066
4,medium,left,-44.47662119676369,-44.2135954369016,0.863777273374183
5,medium,right,-112.95068349823892,-70.63301430713713,1.8475876020424498
6,large,straight,-83.84838067641223,-67.81584964937433,1.4101854815838915
7,large,left,-42.06030568523406,-41.57746402072183,0.9315250439378184
8,large,right,-109.58388339043847,-67.43100549814821,1.6348702366926031
