,x,y,theta
0,-83.66195676661997,-67.79839099083661,1.474630148246878
1,-84.04281151509174,-67.87098501320844,1.3407784843169344
2,-83.92173393644941,-67.81447393098414,1.324005918036752
3,-84.72766124525711,-68.50480213691581,1.3329780953682906
4,-83.92173393644941,-67.81447393098414,1.324005918036752
5,-84.6291535166743,-68.3151529286627,1.3904395509135845
6,-83.19508855476846,-67.40920565923145,1.4433985680999049
7,-83.91313285678812,-67.82407722333541,1.433080106644491
8,-85.06273325939277,-68.62202070143343,1.4311569388058372
9,-83.19508855476846,-67.40920565923145,1.4433985680999049
10,-83.34524180935807,-67.52560275566991,1.382508134276338
11,-85.04194810190462,-68.59416842391181,1.3687832367516801
12,-83.91313285678812,-67.82407722333541,1.4330801066444914
13,-83.70774907075797,-67.68596672521315,1.4356956093724866
14,-83.99496047131392,-67.84348982427144,1.4390958690193887
15,-83.19508855476846,-67.40920565923145,1.4433985680999049
16,-83.91313285678812,-67.82407722333541,1.4330801066444911
17,-83.19508855476847,-67.40920565923143,1.4433985680999046
18,-83.19508855476846,-67.40920565923145,1.4433985680999049
19,-83.19508855476847,-67.40920565923143,1.4433985680999046
